item,time_ms,fps,detections
0000074_06746_d_0000013_jpg.rf.dfc46729360565466d9f983ec9d7ee9d.jpg,290.3430,3.4442,16
0000074_07297_d_0000014_jpg.rf.1bd66e4ef1fcf21082eff3a2005454a4.jpg,289.0950,3.4591,32
0000074_07850_d_0000015_jpg.rf.6cf12fc2351918f0c0b9ada222f8fc24.jpg,289.2660,3.4570,31
0000074_08202_d_0000016_jpg.rf.9030ae8acb5e5ee9046d92aaaa81781b.jpg,289.1810,3.4580,38
0000074_08777_d_0000017_jpg.rf.9aea82291cf35f8709857e8bafe28c1a.jpg,290.8840,3.4378,28
0000074_09738_d_0000019_jpg.rf.7868a16618c4a58fd2f46f1d137bc8ed.jpg,289.7460,3.4513,37
0000074_10218_d_0000020_jpg.rf.778d2fe14ae2a47cd70dd88792490af9.jpg,289.3360,3.4562,30
0000074_10730_d_0000021_jpg.rf.584528c98398e0115078231baa1ed5d2.jpg,290.6670,3.4404,35
0000074_11362_d_0000022_jpg.rf.0696e3a7a3d0cb6b5e506a14573f6076.jpg,289.4490,3.4548,28
0000074_11827_d_0000023_jpg.rf.6e4fe6004ebcc1b4d2a0e2fce72ad9d2.jpg,290.7170,3.4398,25
0000074_12322_d_0000024_jpg.rf.8df1bb4c4bd3c9bcde12f820d10fc8f0.jpg,289.7360,3.4514,24
0000074_13313_d_0000026_jpg.rf.a7b75c67c38f34f8ebf350ab3fc164fb.jpg,289.6030,3.4530,34
0000074_13875_d_0000027_jpg.rf.de1a73ec57ebe4e1d196d9b3e816af9d.jpg,289.4000,3.4554,32
0000074_14850_d_0000029_jpg.rf.0bc2c5c7d9a5d8d323ad0c3eb4ccc038.jpg,289.1330,3.4586,29
0000074_15298_d_0000030_jpg.rf.e64c8c8bbb3dbe4a67945f200372a709.jpg,290.8490,3.4382,27
0000074_15793_d_0000031_jpg.rf.f06d40643f32cda509a6c5e859729c4a.jpg,289.5620,3.4535,28
0000074_16210_d_0000032_jpg.rf.ebca26c48639da199c5c7747a19dc73e.jpg,289.3110,3.4565,23
0000078_00490_d_0000002_jpg.rf.173087f47d658634ad9c09805964561c.jpg,290.2070,3.4458,2
0000078_01314_d_0000004_jpg.rf.e868a0746a505bdef08fd3b737b95499.jpg,289.3600,3.4559,0
0000078_01938_d_0000006_jpg.rf.a0935440e5ff17b68ec111424b1be662.jpg,289.0300,3.4598,1
0000078_02778_d_0000008_jpg.rf.60feb50e3650a26c33baa0d51359d9ea.jpg,289.4020,3.4554,1
0000078_03171_d_0000009_jpg.rf.30195701712bb4b0e8484614780c9b1b.jpg,289.6310,3.4527,9
0000078_03315_d_0000010_jpg.rf.1e63a0b0c4cab2ddf6d5583218b05a5b.jpg,288.9790,3.4605,8
0000078_03810_d_0000011_jpg.rf.29a767c1e10dab1a7f04b02f0022f8ce.jpg,289.2500,3.4572,7
0000078_04210_d_0000012_jpg.rf.3d8a347cdad0b0d63361a03a130d771f.jpg,290.5850,3.4413,4
0000078_04546_d_0000013_jpg.rf.5b21016a82e80aaaa22875734db01775.jpg,289.0200,3.4600,2
0000078_06363_d_0000017_jpg.rf.14cca701098043c2b50cf0f6eb5f0ace.jpg,288.9810,3.4604,3
0000078_06586_d_0000019_jpg.rf.07946ffb48112f801013bbb4efc3142e.jpg,290.2780,3.4450,9
0000078_07266_d_0000021_jpg.rf.3844a004f816e19464b4d05b54f9b9fe.jpg,289.8730,3.4498,3
0000078_07819_d_0000023_jpg.rf.8142fe55a8189fe7129745abfbfacbf8.jpg,289.5890,3.4532,5
0000083_00803_d_0000003_jpg.rf.e4e7f96f35c5ff3515ff6d4c84777258.jpg,289.5920,3.4531,28
0000087_00009_d_0000001_jpg.rf.c902b03a5034ea86e9cb6d467d88834a.jpg,290.2200,3.4457,46
0000087_00299_d_0000002_jpg.rf.43d9902b012ad59f645d06e9f5689bc8.jpg,289.5950,3.4531,51
0000087_00700_d_0000003_jpg.rf.c713ff0128140aff63b17fbf3667db2c.jpg,289.2890,3.4568,40
0000087_01140_d_0000004_jpg.rf.14af92c71829a4bfed732575c8ee9dfd.jpg,290.5270,3.4420,40
0000087_01580_d_0000005_jpg.rf.96ad59d8991bd168daf18c9348a58215.jpg,289.8290,3.4503,37
0000105_01556_d_0000069_jpg.rf.695f69c42d5bd34ff2f8ed3bd9f81da3.jpg,289.4530,3.4548,7
