item,time_ms,fps,detections
0000074_13313_d_0000026_jpg.rf.a7b75c67c38f34f8ebf350ab3fc164fb.jpg,158.0860,6.3257,34
0000074_13875_d_0000027_jpg.rf.de1a73ec57ebe4e1d196d9b3e816af9d.jpg,164.4150,6.0822,32
0000074_14850_d_0000029_jpg.rf.0bc2c5c7d9a5d8d323ad0c3eb4ccc038.jpg,158.2430,6.3194,29
0000074_15298_d_0000030_jpg.rf.e64c8c8bbb3dbe4a67945f200372a709.jpg,158.1980,6.3212,27
0000074_15793_d_0000031_jpg.rf.f06d40643f32cda509a6c5e859729c4a.jpg,158.4970,6.3093,28
0000074_16210_d_0000032_jpg.rf.ebca26c48639da199c5c7747a19dc73e.jpg,164.4040,6.0826,23
0000078_00490_d_0000002_jpg.rf.173087f47d658634ad9c09805964561c.jpg,158.2840,6.3178,2
0000078_01314_d_0000004_jpg.rf.e868a0746a505bdef08fd3b737b95499.jpg,162.6450,6.1484,0
0000078_01938_d_0000006_jpg.rf.a0935440e5ff17b68ec111424b1be662.jpg,157.7080,6.3408,1
0000078_02778_d_0000008_jpg.rf.60feb50e3650a26c33baa0d51359d9ea.jpg,157.4800,6.3500,1
0000078_03171_d_0000009_jpg.rf.30195701712bb4b0e8484614780c9b1b.jpg,158.4920,6.3095,9
0000078_03315_d_0000010_jpg.rf.1e63a0b0c4cab2ddf6d5583218b05a5b.jpg,157.5270,6.3481,8
0000078_03810_d_0000011_jpg.rf.29a767c1e10dab1a7f04b02f0022f8ce.jpg,158.2680,6.3184,7
0000078_04210_d_0000012_jpg.rf.3d8a347cdad0b0d63361a03a130d771f.jpg,165.9300,6.0266,4
0000078_04546_d_0000013_jpg.rf.5b21016a82e80aaaa22875734db01775.jpg,157.4910,6.3496,2
0000078_06363_d_0000017_jpg.rf.14cca701098043c2b50cf0f6eb5f0ace.jpg,157.6360,6.3437,3
0000078_06586_d_0000019_jpg.rf.07946ffb48112f801013bbb4efc3142e.jpg,157.8110,6.3367,9
0000078_07266_d_0000021_jpg.rf.3844a004f816e19464b4d05b54f9b9fe.jpg,157.5380,6.3477,3
0000078_07819_d_0000023_jpg.rf.8142fe55a8189fe7129745abfbfacbf8.jpg,157.6530,6.3430,5
0000083_00803_d_0000003_jpg.rf.e4e7f96f35c5ff3515ff6d4c84777258.jpg,163.2260,6.1265,28
0000087_00009_d_0000001_jpg.rf.c902b03a5034ea86e9cb6d467d88834a.jpg,158.2120,6.3206,46
0000087_00299_d_0000002_jpg.rf.43d9902b012ad59f645d06e9f5689bc8.jpg,157.7000,6.3412,51
0000087_00700_d_0000003_jpg.rf.c713ff0128140aff63b17fbf3667db2c.jpg,158.6520,6.3031,40
0000087_01140_d_0000004_jpg.rf.14af92c71829a4bfed732575c8ee9dfd.jpg,156.8620,6.3750,40
0000087_01580_d_0000005_jpg.rf.96ad59d8991bd168daf18c9348a58215.jpg,157.8400,6.3355,37
0000105_01556_d_0000069_jpg.rf.695f69c42d5bd34ff2f8ed3bd9f81da3.jpg,163.5800,6.1132,7
0000105_01748_d_0000070_jpg.rf.379b61df7ed0c65e434eb4ab22f77b1d.jpg,157.2630,6.3588,1
0000105_02201_d_0000071_jpg.rf.b1000a5c55276c44d8c88e90e03a405d.jpg,157.2570,6.3590,1
0000105_02539_d_0000072_jpg.rf.8961f86ced0401b457e0e9d1acfe4594.jpg,158.2640,6.3186,4
0000105_02747_d_0000073_jpg.rf.38e14e1c1818cef8435dc74bf5423777.jpg,157.1440,6.3636,3
0000105_02931_d_0000074_jpg.rf.169ea5ee10f6b4bca08348f744b33bde.jpg,157.6140,6.3446,2
0000118_02327_d_0000076_jpg.rf.ec1e35e1390a11d8c0ba54f645a6832d.jpg,161.6330,6.1869,3
0000118_02632_d_0000077_jpg.rf.eb2093ba42b98872ea0057f06fbada1b.jpg,157.8430,6.3354,4
0000120_00559_d_0000092_jpg.rf.da16b27e9da81415d3da895aa08a52c6.jpg,157.6390,6.3436,24
0000120_01392_d_0000094_jpg.rf.02236b67c35e93f547330fa3508bf27b.jpg,158.6620,6.3027,10
0000120_01535_d_0000095_jpg.rf.45e18f266f5fbaac1e4b66a84efee969.jpg,157.0430,6.3677,1
0000120_02001_d_0000096_jpg.rf.6f16d4312375126d107bb8f645fdc570.jpg,157.6800,6.3420,35
0000120_02946_d_0000098_jpg.rf.2aa55670b0c63bac4560633ef9c1b50d.jpg,163.1570,6.1291,16
0000120_03922_d_0000100_jpg.rf.3aad168490284015b9b3df026813f641.jpg,158.4680,6.3104,21
0000120_04920_d_0000102_jpg.rf.04621d376bec943408d13b2d4cade556.jpg,157.5090,6.3488,47
0000120_05373_d_0000103_jpg.rf.ec5fda0861663b556457289dd14c25d3.jpg,157.6820,6.3419,18
0000120_06848_d_0000106_jpg.rf.9ae667d4eca803f78b018774b8fae692.jpg,156.8970,6.3736,16
0000120_07578_d_0000108_jpg.rf.f002a4f78fd13ed5376f9ad93f612650.jpg,157.4610,6.3508,9
0000127_00002_d_0000119_jpg.rf.bea1559deea047778c67f4bb105241f3.jpg,160.8420,6.2173,21
0000127_00265_d_0000120_jpg.rf.4c930fd77e2444db345e25ab78aa3fad.jpg,159.3760,6.2745,15
0000127_01002_d_0000123_jpg.rf.9b12b50b972270dcfecdacaca026c6e1.jpg,157.6770,6.3421,17
0000152_00100_d_0000145_jpg.rf.d55648539abf216fc7c98ee90abfa27c.jpg,159.3570,6.2752,3
0000152_00599_d_0000146_jpg.rf.33bb22dc82cbcc940b548dece90fbec6.jpg,157.6050,6.3450,3
0000152_02214_d_0000150_jpg.rf.fbf6d578891b4223346ed2585a9ef018.jpg,157.0880,6.3659,5
0000152_03226_d_0000153_jpg.rf.49dd0f734be2543a783011967158f73b.jpg,168.3780,5.9390,8
0000161_01584_d_0000158_jpg.rf.5dc9e34525cb870a6fc660ec97bb38bc.jpg,158.1800,6.3219,28
0000164_00078_d_0000159_jpg.rf.6510098e1b263edeaf6b309fee58e700.jpg,157.6180,6.3445,6
0000164_01068_d_0000162_jpg.rf.75503301fc99e414ad271330f9a2c29d.jpg,158.4820,6.3099,3
0000164_01302_d_0000163_jpg.rf.18a924cc22147340e945c0ea5a9083b5.jpg,157.3550,6.3551,4
0000164_01840_d_0000165_jpg.rf.732cd60b90c124a512af90fb76213630.jpg,157.9960,6.3293,1
0000183_00031_d_0000176_jpg.rf.47cfb6b1d933bd01990ab88ccd286039.jpg,161.5630,6.1895,25
0000183_00216_d_0000177_jpg.rf.8bf3e3d8fe7ba452aec3d6a2e9eac353.jpg,158.7850,6.2978,10
0000184_00512_d_0000182_jpg.rf.edf0eaa9b55a7a32b5e1bce60c3543a2.jpg,157.6060,6.3449,18
0000186_00901_d_0000187_jpg.rf.dcc2c629852ed8bb3ec0ff97003e9e34.jpg,158.7680,6.2985,10
0000186_01387_d_0000188_jpg.rf.c2bd518f2f897254508c74c7b91e545f.jpg,157.5680,6.3465,6
0000187_00024_d_0000189_jpg.rf.f91b5588b50a1e2cf08bad24d6d4bbba.jpg,157.3470,6.3554,3
0000187_00444_d_0000190_jpg.rf.2558895d6c37573e1b8254cde15696e5.jpg,157.2220,6.3604,2
0000187_00666_d_0000191_jpg.rf.478de5e725564bf57e7ee563bf1c5680.jpg,164.0610,6.0953,2
0000189_00297_d_0000198_jpg.rf.944b133ab4e81944e1601fef081c00e5.jpg,157.0990,6.3654,5
0000190_00023_d_0000201_jpg.rf.9a1b7aebb4911b8d0f41ba18900ea4de.jpg,157.2940,6.3575,11
0000190_00172_d_0000202_jpg.rf.17d715ed3d9db5aeeb927b1efe6a26a7.jpg,157.0020,6.3693,10
0000192_00522_d_0000213_jpg.rf.62334661af4eb94f72f731378000c20e.jpg,156.6260,6.3846,6
0000207_00000_d_0000001_jpg.rf.874880b6081c4cb926d6d25c4ca68762.jpg,157.3140,6.3567,6
0000207_00100_d_0000002_jpg.rf.a78477482b7878b1cad5c88d664133f6.jpg,161.3060,6.1994,5
0000207_00300_d_0000004_jpg.rf.0bb9178fcc09db7818146b50b8bd6057.jpg,156.9520,6.3714,1
0000207_00500_d_0000006_jpg.rf.d9fc7a15e831c7708cc6ed12cf926a8d.jpg,157.3840,6.3539,1
0000207_00600_d_0000007_jpg.rf.8f11e2e3dee052083720583f1e534198.jpg,156.9250,6.3725,1
0000207_00700_d_0000008_jpg.rf.be8a36b634c085c2797a00832427204c.jpg,157.6010,6.3451,1
0000250_02350_d_0000001_jpg.rf.bd09d86a46e4ae0825749662079226d7.jpg,157.2610,6.3589,1
0000259_00000_d_0000001_jpg.rf.2c7592571645a3c6189f90bda677fed8.jpg,165.1290,6.0559,5
0000259_00500_d_0000002_jpg.rf.ddff11f1b6fd9a899e439c58c3316628.jpg,157.4030,6.3531,9
0000259_01000_d_0000003_jpg.rf.449ab57074dae83a5bd72d643e12c5e5.jpg,157.6700,6.3424,10
0000259_02000_d_0000005_jpg.rf.4301ff09cab0e9eba6eea0de42e68127.jpg,157.6240,6.3442,2
0000259_02500_d_0000006_jpg.rf.e0bb8d942f838366a38ff6ff6fee1274.jpg,157.2800,6.3581,6
0000259_03000_d_0000007_jpg.rf.cfab9bf591191468308d0b561ba4cbdb.jpg,157.4380,6.3517,7
